1.219656541438344718e-02,2.413136129617521053e-01,7.464432267379349506e-01,7.988736933210935229e-06,3.780603912729654662e-05
1.249458272320708857e-02,2.410254257242211706e-01,7.463953604585252810e-01,7.169612681055576882e-06,7.694462458751687953e-05
1.064310967207215269e-02,2.403401347669817667e-01,7.458910750784780719e-01,5.846436962186315399e-05,3.066291272421652146e-03
1.141195537223641324e-02,2.407039394265369225e-01,7.464454489934342352e-01,1.049179723763680626e-03,3.885540222352902627e-04
1.173155374588019835e-02,2.410954646970831505e-01,7.470263047540741663e-01,3.493368070710519069e-05,1.113283226471775320e-04
1.137536049548221705e-02,2.412317256381791009e-01,7.473503028844029616e-01,7.425287661060515321e-06,3.429923928492522591e-05
1.135855619518920563e-02,2.411359665349787906e-01,7.474682308530988806e-01,7.362786392061762913e-06,2.900161066716957782e-05
1.208254623560963033e-02,2.402662532529085959e-01,7.468101723557137861e-01,6.993673372244032420e-04,1.407788537515537329e-04
1.156499215847400959e-02,2.406034276417332585e-01,7.473309372738157208e-01,8.037633718285551373e-06,4.920155819254034245e-04
1.135605946913144197e-02,2.406910390611957939e-01,7.476183157486983033e-01,2.041352770037723602e-04,1.295623028372544635e-04
1.140180587575200487e-02,2.406936355460122801e-01,7.478265024528569782e-01,7.021442090138460476e-06,7.012673538923163232e-05
1.161657415545641441e-02,2.403662031630272311e-01,7.476996191014314563e-01,2.627490832044753204e-04,5.391810532494931802e-05
1.233463291617763712e-02,2.400463016498346480e-01,7.475871449641416921e-01,5.049818972889012027e-06,6.820175469555862193e-06
1.143115256746928682e-02,2.398143006989006953e-01,7.475703033301605016e-01,2.946471375035952475e-04,8.887286706322321261e-04
1.119829745468932727e-02,2.400967305678185781e-01,7.480750899088032257e-01,4.651899337707214111e-04,1.637508117667205165e-04
1.070527276214989013e-02,2.395803077459097430e-01,7.477870049539313557e-01,6.959925104556130984e-06,1.919556161957724355e-03
1.163111772662228996e-02,2.399335967634622924e-01,7.483743844679828783e-01,3.380797108245982247e-05,2.623143743464076281e-05
1.041017075152795429e-02,2.390060917544920005e-01,7.476858768191726456e-01,8.487867502886232507e-05,2.812037660517270523e-03
1.203105591962859260e-02,2.390655914201966215e-01,7.479880641779999007e-01,3.478768719951811413e-04,5.664200805676656994e-04
1.081963515008053760e-02,2.387668091606867382e-01,7.479348802067736779e-01,1.854743762679735182e-03,6.229828647378482824e-04
1.060929155254895610e-02,2.384598410518411205e-01,7.478743136562417959e-01,2.557181426809020369e-03,4.984224146985455697e-04
1.235458314569946349e-02,2.381003287075842134e-01,7.477614406885085829e-01,7.904312711400517848e-04,9.922663622639873657e-04
1.116923619979857431e-02,2.390287646294232959e-01,7.489402279956655084e-01,4.760034168284138696e-04,3.848188524668809266e-04
1.048672428069592245e-02,2.388152014508325149e-01,7.489728639933228571e-01,1.488722373765201672e-04,1.575387079713181076e-03
1.131173333083643033e-02,2.386774754157424683e-01,7.490725435048949388e-01,8.589254519013251373e-04,7.835393996630712812e-05
